,breaking,china,corona,coronavirus,coronaviruspandemic,coronavirusupdate,coronavirusupdates,covid,covid19,covid_19,covidiots,health,india,indiafightscorona,lockdown,mask,masks,odisha,pandemic,socialdistancing,staysafe,trump,usa,vaccine,wearamask
covidiots,0.0,0.0,1.5005984803451775,1.4433078056834554,0.282182513067825,0.6903882843989503,0.4777062889171239,5.788022709902828,0.8917929937969827,6.930211210767429,1.0,0.0,0.0,0.0,1.8128978519050483,2.3703331097697298,2.178424302195375,0.0,0.7662714794514212,1.6266991929792263,1.0055958647507943,0.4562511027054475,1.5587785586168368,0.0,5.021638870634484
health,0.0,0.8982048610228648,0.8339921104071044,1.6178987893753711,0.0,0.0,0.4646184453851479,2.0641304732575834,0.7704485426627486,1.7583501940362862,0.0,1.0,0.8268700599339439,0.4499371933934239,2.0151193344071765,3.45808871493803,1.0593707223004905,0.0,4.02449979755719,0.5273773639339042,2.4451132327844656,0.22187553624716963,2.5267871612282056,2.424125136365715,0.6105074654367266
india,2.640816253914034,6.887259989004529,2.96348520188212,2.0468569352699415,2.1557683705420683,0.2511574800631536,1.7378555002450453,3.1584513335848903,0.7820680234473116,1.2057687496252245,0.0,0.8268700599339439,1.0,2.8610011460353846,2.072767923393206,0.0,0.0,0.7705725239384416,1.0035473449075147,0.1972598508992742,0.0,0.24897049925600426,8.317035383636204,0.9067180270949472,0.11417688721660386
indiafightscorona,0.0,0.7312522846245628,0.8487187368919883,0.40677435667709,0.22343819807972753,0.0,10.212969767889888,1.9860018443272527,0.8363233251209018,0.7157596514757375,0.0,0.4499371933934239,2.8610011460353846,1.0,0.20507022966318383,0.0,0.0,0.8386063434311477,0.12135005585364513,0.0,25.081953362622503,0.0,0.41142482402154423,0.0,0.0
lockdown,0.0,0.8187590616608008,0.9502823734607486,2.266415054431661,0.1250881899759557,0.0,0.2117615807270497,1.2828812041720106,0.7740789522250964,1.0685499618285028,1.8128978519050483,2.0151193344071765,2.072767923393206,0.20507022966318383,1.0,1.576111193697042,3.1384271034229934,0.15649331001247221,2.241882301379413,1.922924332179397,2.4517285235287316,0.0,1.3819764120099323,0.9470196013630293,0.8347625489946501
mask,0.0,0.46834967753335105,0.8697346294245518,1.1909910415906093,0.0,0.0,0.0,2.9353543743078627,0.6720830997944859,5.195506168569123,2.3703331097697298,3.45808871493803,0.0,0.0,1.576111193697042,1.0,16.019198707929565,0.3580715974332996,2.797985573539761,9.349647266313935,4.5898268398268405,0.46276897560123964,0.5270156079133115,0.722290346753866,4.456704497688104
masks,0.0,0.43043077585121975,0.19982961945203054,1.003351315125568,0.0,0.0,0.0,1.978313232575102,0.7105519815862467,1.9661202388458259,2.178424302195375,1.0593707223004905,0.0,0.0,3.1384271034229934,16.019198707929565,1.0,0.0,2.0000188636535126,9.098125026815978,1.8747651570408683,0.6379528547675732,1.4530408445749945,0.6638116972355005,3.218189243407165
odisha,22.558510638297875,0.0,0.0,0.36954509269212166,0.34102056898409483,0.0,0.0,0.8160701522898456,0.9844173510987542,0.5462109113389316,0.0,0.0,0.7705725239384416,0.8386063434311477,0.15649331001247221,0.3580715974332996,0.0,1.0,0.0926047234741292,0.0,0.30381832509492085,0.0,0.0,0.0,0.18964699990162145
pandemic,0.2720263752052545,0.8478744162241699,1.4058210604922714,2.695130589806335,0.6661870413189908,0.09054969493656183,0.8771675822357534,3.6438881887959678,0.8625385906099831,1.7388610909004163,0.7662714794514212,4.02449979755719,1.0035473449075147,0.12135005585364513,2.241882301379413,2.797985573539761,2.0000188636535126,0.0926047234741292,1.0,2.2757762108674884,1.4508073344280241,3.0518816063357614,3.407428499439514,0.7471969104350338,2.3051919815628126
socialdistancing,0.48123184458968765,0.0,0.5968767064678298,1.203316112282451,0.0,0.0,0.0,1.432504095522791,0.6750886313725142,1.6779027995378941,1.6266991929792263,0.5273773639339042,0.1972598508992742,0.0,1.922924332179397,9.349647266313935,9.098125026815978,0.0,2.2757762108674884,1.0,4.666490614203032,0.4234487358442715,0.0,0.0,7.282196891647228
staysafe,0.0,0.0,3.3208049487119258,0.9473792376288936,0.4856959618864381,1.1883046834503144,0.0,0.9962414846135776,0.8939669939850099,1.8151857558637219,1.0055958647507943,2.4451132327844656,0.0,25.081953362622503,2.4517285235287316,4.5898268398268405,1.8747651570408683,0.30381832509492085,1.4508073344280241,4.666490614203032,1.0,0.0,1.3414942746884293,0.0,6.7525825722547035
trump,0.8098457073021693,2.1635952106031984,0.3348199306675635,1.6238305906196435,0.22036617885773313,0.13478708027220568,0.0,7.156776018019171,0.6225093114020999,0.352959388170437,0.4562511027054475,0.22187553624716963,0.24897049925600426,0.0,0.0,0.46276897560123964,0.6379528547675732,0.0,3.0518816063357614,0.4234487358442715,0.0,1.0,7.506711775410505,0.5561172238984853,0.12254916125631816
usa,0.922277313848295,6.981245715215295,0.9532582055279536,1.9145367474421067,1.0038392531682123,0.0,0.0,1.372691815960253,0.7288715739997336,1.0718961516880912,1.5587785586168368,2.5267871612282056,8.317035383636204,0.41142482402154423,1.3819764120099323,0.5270156079133115,1.4530408445749945,0.0,3.407428499439514,0.0,1.3414942746884293,7.506711775410505,1.0,3.1666173866035883,1.9538787985688975
vaccine,2.528016213638531,5.628236468211942,0.7838809964770639,1.4759599281514524,0.0,0.0,0.29113430483361197,1.0582393452440364,0.9048148350519845,0.5508994170156606,0.0,2.424125136365715,0.9067180270949472,0.0,0.9470196013630293,0.722290346753866,0.6638116972355005,0.0,0.7471969104350338,0.0,0.0,0.5561172238984853,3.1666173866035883,1.0,0.0
wearamask,0.2785440311055065,0.0,0.6909619376260626,1.1958721524168001,0.30317717671347644,0.0,0.0,2.0728858128781877,0.8363680972420925,0.9711946847262213,5.021638870634484,0.6105074654367266,0.11417688721660386,0.0,0.8347625489946501,4.456704497688104,3.218189243407165,0.18964699990162145,2.3051919815628126,7.282196891647228,6.7525825722547035,0.12254916125631816,1.9538787985688975,0.0,1.0
